Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-05-12 15:29:56,37.06,True,False,"(-5.31, 2.07, -4.11)","(-0.15, 0.14, -0.98)","(-4.48, 1.63, -0.97)","(-4.54, 1.63, -0.94)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:57,38.06,True,False,"(-5.19, 2.10, -3.96)","(-0.23, 0.15, -0.96)","(-4.46, 1.64, -0.97)","(-4.52, 1.63, -0.95)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:58,39.06,True,False,"(-5.12, 2.04, -3.96)","(-0.22, 0.13, -0.97)","(-4.43, 1.63, -0.95)","(-4.49, 1.63, -0.94)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:29:59,40.06,True,False,"(-5.09, 2.09, -3.96)","(-0.20, 0.14, -0.97)","(-4.43, 1.63, -0.93)","(-4.49, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:00,41.07,True,False,"(-5.16, 2.04, -3.70)","(-0.24, 0.14, -0.96)","(-4.43, 1.64, -0.93)","(-4.49, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:01,42.07,True,False,"(-5.17, 2.01, -3.70)","(-0.25, 0.13, -0.96)","(-4.43, 1.63, -0.93)","(-4.50, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:02,43.07,True,False,"(-5.18, 1.99, -3.70)","(-0.24, 0.12, -0.96)","(-4.45, 1.63, -0.88)","(-4.51, 1.62, -0.86)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:03,44.08,True,False,"(-5.12, 1.95, -3.57)","(-0.23, 0.11, -0.97)","(-4.45, 1.63, -0.88)","(-4.52, 1.63, -0.86)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:04,45.09,True,False,"(-5.15, 1.85, -3.30)","(-0.26, 0.10, -0.96)","(-4.46, 1.63, -0.88)","(-4.52, 1.63, -0.87)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:05,46.09,True,False,"(-5.13, 2.10, -3.61)","(-0.18, 0.16, -0.97)","(-4.57, 1.64, -0.93)","(-4.64, 1.64, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:06,47.10,True,False,"(-5.13, 1.97, -3.30)","(-0.21, 0.14, -0.97)","(-4.57, 1.64, -0.91)","(-4.63, 1.63, -0.90)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:07,48.10,True,False,"(-5.02, 1.97, -3.31)","(-0.17, 0.14, -0.98)","(-4.57, 1.64, -0.92)","(-4.64, 1.63, -0.91)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:08,49.10,True,False,"(-4.57, 1.58, -4.17)","(0.09, -0.08, -0.99)","(-4.56, 1.63, -0.93)","(-4.62, 1.63, -0.93)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:09,50.10,True,False,"(-4.11, 1.17, -3.84)","(0.12, -0.12, -0.99)","(-4.55, 1.63, -0.94)","(-4.61, 1.63, -0.95)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:10,51.11,True,False,"(-5.16, 1.90, -3.30)","(-0.23, 0.11, -0.97)","(-4.56, 1.63, -0.94)","(-4.63, 1.63, -0.93)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:11,52.11,True,False,"(-5.14, 1.93, -3.30)","(-0.23, 0.12, -0.97)","(-4.56, 1.63, -0.94)","(-4.63, 1.63, -0.93)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:12,53.11,True,False,"(-5.04, 1.93, -3.30)","(-0.16, 0.13, -0.98)","(-4.59, 1.63, -0.93)","(-4.65, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:13,54.11,True,False,"(-5.40, 2.02, -3.89)","(-0.30, 0.12, -0.95)","(-4.58, 1.64, -0.94)","(-4.64, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:14,55.13,True,False,"(-7.23, 1.95, -2.09)","(-0.94, 0.14, -0.30)","(-4.65, 1.63, -0.95)","(-4.68, 1.63, -0.89)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:15,56.13,True,False,"(-8.79, 2.25, -1.37)","(-0.98, 0.15, -0.09)","(-4.66, 1.64, -1.01)","(-4.66, 1.63, -0.94)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:16,57.13,True,False,"(-8.77, 2.35, -1.27)","(-0.98, 0.17, -0.04)","(-4.65, 1.64, -1.01)","(-4.66, 1.64, -0.95)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:17,58.14,True,False,"(-8.48, 2.28, -0.76)","(-0.99, 0.16, 0.05)","(-4.67, 1.64, -0.99)","(-4.67, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:18,59.14,True,False,"(-8.07, 2.19, -0.74)","(-0.98, 0.16, 0.07)","(-4.66, 1.64, -1.00)","(-4.66, 1.64, -0.93)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:19,60.14,True,False,"(-8.75, 2.30, -1.43)","(-0.99, 0.15, 0.01)","(-4.65, 1.64, -1.00)","(-4.65, 1.63, -0.93)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:30:20,61.14,True,False,"(-8.21, 2.08, -0.72)","(-0.99, 0.08, 0.07)","(-4.70, 1.64, -0.95)","(-4.70, 1.64, -0.88)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:30:21,62.15,True,False,"(-8.68, 1.68, -0.77)","(-1.00, -0.05, 0.03)","(-4.72, 1.63, -0.95)","(-4.72, 1.63, -0.88)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:30:22,63.15,True,False,"(-8.66, 2.02, -0.71)","(-1.00, 0.06, 0.05)","(-4.72, 1.65, -0.95)","(-4.73, 1.64, -0.88)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:30:23,64.15,True,False,"(-8.43, 2.26, -0.82)","(-0.99, 0.16, 0.03)","(-4.71, 1.66, -0.96)","(-4.72, 1.65, -0.90)",Blue,"(0.13, 0.13, 0.13)",1,0
2025-05-12 15:30:24,65.15,True,False,"(-8.65, 2.25, -0.66)","(-0.98, 0.16, 0.06)","(-4.65, 1.63, -1.00)","(-4.66, 1.63, -0.93)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:25,66.15,True,False,"(-7.82, 1.66, -4.25)","(-0.68, 0.01, -0.73)","(-4.51, 1.63, -0.81)","(-4.56, 1.62, -0.77)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:26,67.16,True,False,"(-5.20, 1.83, -3.41)","(-0.24, 0.06, -0.97)","(-4.55, 1.62, -0.77)","(-4.61, 1.62, -0.74)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:27,68.17,True,False,"(-5.21, 2.11, -3.63)","(-0.22, 0.13, -0.97)","(-4.55, 1.63, -0.73)","(-4.62, 1.63, -0.72)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:28,69.19,True,False,"(-7.18, 2.32, -4.19)","(-0.65, 0.02, -0.76)","(-4.59, 1.64, -0.74)","(-4.64, 1.63, -0.70)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:29,70.19,True,False,"(-7.40, 2.80, -4.15)","(-0.61, 0.25, -0.75)","(-4.59, 1.64, -0.74)","(-4.64, 1.64, -0.70)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:30,71.19,True,False,"(-7.36, 2.73, -4.13)","(-0.63, 0.24, -0.74)","(-4.60, 1.64, -0.74)","(-4.65, 1.64, -0.71)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:31,72.20,True,False,"(-3.51, 2.74, -4.14)","(0.51, 0.26, -0.82)","(-4.51, 1.64, -0.75)","(-4.57, 1.64, -0.78)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:32,73.21,True,False,"(-1.15, 1.51, -4.15)","(0.71, 0.10, -0.69)","(-4.43, 1.63, -0.77)","(-4.47, 1.62, -0.82)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:33,74.21,True,False,"(-2.16, 0.91, -4.23)","(0.56, -0.23, -0.79)","(-4.46, 1.63, -0.91)","(-4.51, 1.63, -0.95)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:34,75.22,True,False,"(-7.67, 1.89, -4.20)","(-0.75, 0.09, -0.65)","(-4.57, 1.63, -0.96)","(-4.62, 1.63, -0.92)",Yellow,"(0.05, 0.05, 0.05)",1,0
2025-05-12 15:30:35,76.22,True,False,"(-6.96, 2.30, -4.13)","(-0.58, 0.26, -0.77)","(-4.49, 1.65, -0.99)","(-4.52, 1.64, -0.94)",Yellow,"(0.05, 0.05, 0.05)",1,0
