Timestamp,TotalGazeTime,IsGazing,EyeClosed,FocusPosition,GazeDirection,LeftEyePosition,RightEyePosition,BallColor,BallScale,TriggerCount,BallToggleCount
2025-04-09 21:38:50,33.89,True,False,(-4.28, 1.11, -1.72),"(-0.41, -0.19, -0.89)","(-3.55, 1.43, -0.22)","(-3.61, 1.43, -0.20)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:52,34.90,True,False,(-4.62, 0.85, -4.26),"(-0.25, -0.13, -0.96)","(-3.54, 1.43, -0.21)","(-3.61, 1.43, -0.19)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:53,35.91,True,False,(-4.13, 2.28, -3.97),"(-0.14, 0.22, -0.97)","(-3.55, 1.44, -0.21)","(-3.61, 1.43, -0.19)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:54,36.93,True,False,(-4.15, 1.90, -4.26),"(-0.16, 0.07, -0.98)","(-3.53, 1.43, -0.22)","(-3.59, 1.43, -0.20)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:55,37.94,True,False,(-5.04, 1.02, -4.26),"(-0.34, -0.10, -0.93)","(-3.54, 1.43, -0.23)","(-3.60, 1.43, -0.21)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:56,38.95,True,False,(-7.27, 0.87, -4.12),"(-0.61, -0.11, -0.79)","(-3.55, 1.43, -0.24)","(-3.61, 1.43, -0.21)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:57,39.96,True,False,(-3.33, 1.05, -0.79),"(0.05, -0.49, -0.87)","(-3.32, 1.38, -0.25)","(-3.38, 1.38, -0.25)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:58,40.97,True,False,(-3.44, 1.02, -0.88),"(-0.35, -0.39, -0.85)","(-3.27, 1.37, -0.19)","(-3.33, 1.37, -0.18)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:38:59,41.98,True,False,(-3.68, 0.91, -1.11),"(-0.10, -0.53, -0.84)","(-3.56, 1.38, -0.36)","(-3.63, 1.37, -0.35)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:00,43.00,True,False,(-3.38, 0.92, -1.13),"(0.27, -0.51, -0.82)","(-3.61, 1.38, -0.40)","(-3.67, 1.37, -0.41)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:01,44.01,True,False,(-3.45, 0.96, -1.16),"(0.22, -0.46, -0.86)","(-3.62, 1.38, -0.37)","(-3.68, 1.37, -0.38)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:02,45.02,True,False,(-3.74, 0.96, -1.15),"(-0.13, -0.47, -0.87)","(-3.61, 1.38, -0.37)","(-3.68, 1.37, -0.36)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:03,46.02,True,False,(-3.74, 0.92, -1.11),"(-0.11, -0.51, -0.85)","(-3.61, 1.37, -0.37)","(-3.67, 1.37, -0.36)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:04,47.04,True,False,(-3.66, 0.91, -1.17),"(0.14, -0.50, -0.85)","(-3.60, 1.37, -0.36)","(-3.67, 1.37, -0.36)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:05,48.05,True,False,(-3.39, 1.08, -0.84),"(0.37, -0.47, -0.80)","(-3.59, 1.38, -0.34)","(-3.65, 1.37, -0.35)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:06,49.06,True,False,(-3.40, 1.08, -0.86),"(0.36, -0.47, -0.80)","(-3.59, 1.38, -0.35)","(-3.66, 1.37, -0.35)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:07,50.08,True,False,(-3.14, 1.90, -4.13),"(0.21, 0.23, -0.95)","(-3.58, 1.40, -0.33)","(-3.65, 1.40, -0.33)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:08,51.09,True,False,(-8.67, 2.24, -1.10),"(-0.94, 0.10, 0.34)","(-3.50, 1.44, -0.46)","(-3.51, 1.43, -0.39)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:09,52.09,True,False,(-5.59, 1.39, 1.04),"(-0.72, 0.35, 0.60)","(-3.53, 1.39, -0.60)","(-3.49, 1.41, -0.55)",Blue,"(0.05, 0.05, 0.05)",3,0
2025-04-09 21:39:10,52.98,True,False,(-3.53, 2.64, 1.04),"(-0.04, 0.66, 0.75)","(-3.26, 1.47, -0.19)","(-3.20, 1.46, -0.18)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:11,53.98,True,False,(-0.54, 1.68, 0.86),"(0.89, 0.09, 0.45)","(-3.24, 1.42, -0.45)","(-3.20, 1.42, -0.50)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:12,54.99,True,False,(-2.99, 1.05, 1.09),"(0.09, -0.23, 0.97)","(-3.31, 1.42, -0.45)","(-3.24, 1.42, -0.46)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:13,56.01,True,False,(-6.01, 1.31, 0.86),"(-0.89, -0.05, 0.45)","(-3.52, 1.41, -0.44)","(-3.48, 1.41, -0.39)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:14,57.02,True,False,(-5.62, 1.29, 0.77),"(-0.87, -0.06, 0.48)","(-3.61, 1.43, -0.44)","(-3.57, 1.43, -0.38)",Blue,"(0.05, 0.05, 0.05)",5,0
2025-04-09 21:39:15,58.04,True,False,(-6.46, 2.61, 0.92),"(-0.84, 0.34, 0.42)","(-3.60, 1.44, -0.66)","(-3.57, 1.44, -0.60)",Blue,"(0.05, 0.05, 0.05)",5,0
